location_name,system_kwp,roof_area_required,monthly_bill_vnd,monthly_consumption_kwh,monthly_avg_generation_kwh,self_consumption_ratio,self_used_kwh,average_price_per_kwh,investment_cost,monthly_saving_vnd,annual_saving_vnd,payback_years
home,3,15-18 m²,2000000,624.67,338.68,0.6,203.21,3201.7,44000000,650617,7807409,5.64
home,5,25-30 m²,2000000,624.67,564.47,0.6,338.68,3201.7,65000000,1084352,13012221,5.0
home,6,30-36 m²,2000000,624.67,677.36,0.6,406.42,3201.7,78500000,1301235,15614819,5.03
home,10,50-60 m²,2000000,624.67,1128.94,0.6,624.67,3201.7,120000000,2000006,24000071,5.0
